## Torsion are defined with the following atomIDs:
# dihed1: ai= 5185 aj= 3156 ak= 3178 al= 3155
# dihed2: ai= 3156 aj= 3178 ak= 3153 al= 3169
# dihed3: ai= 3152 aj= 3167 ak= 3166 al= 3165
# dihed4: ai= 3170 aj= 3168 ak= 3172 al= 3175
# dihed5: ai= 3162 aj= 3161 ak= 3157 al= 3151
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
360  -45.920 -103.301   56.916  145.643  -45.073
361  -56.331 -102.331   57.820  140.155  -46.448
362  -31.310 -113.086   72.361  143.781  -46.852
363  -59.397  -77.751   68.925  144.304  -54.857
364  -53.553 -102.574   85.353  138.309  -65.482
365  -66.150  -89.568   64.189  145.653  -54.979
366  -34.339 -106.686   58.346  150.477  -59.213
367  -57.192  -97.740   67.272  151.585  -64.776
368  -44.925  -91.001   62.731  128.635  -51.050
369  -63.722 -107.630   66.497  152.181  -61.039
370  -51.963 -104.760   77.919  133.747  -59.556
371  -62.902 -118.672   70.142  143.586  -49.635
372  -60.622  -99.484   70.930  137.654  -64.826
373  -45.818 -109.147   85.168  139.653  -65.291
374  -64.348 -110.144   71.988  142.333  -56.441
375  -74.674  -97.010   76.959  146.100  -63.104
376  -69.799  -92.648   85.401  131.868  -72.069
377  -61.800  -95.665   80.619  143.237  -64.848
378  -63.767 -113.428   64.162  148.153  -70.141
379  -60.853  -90.425   79.004  137.346  -47.857
380  -69.492 -104.956   66.661  147.503  -53.313
381  -58.657 -105.119   78.178  136.532  -70.410
382  -50.554 -114.070   75.217  139.298  -62.956
383  -49.351 -101.929   66.519  142.865  -48.581
384  -58.901 -107.205   72.074  139.029  -56.864
385  -55.193 -118.874   68.780  141.336  -71.978
386  -44.459 -112.791   52.832  151.136  -62.616
387  -68.236 -110.833   81.571  145.919  -62.090
388  -45.588  -84.130   71.164  147.203  -67.251
389  -50.714 -104.810   56.688  144.132  -47.189
390  -54.139 -108.905   86.719  136.882  -64.402
391  -54.658 -109.751   68.096  142.323  -71.817
392  -56.422  -80.557   74.184  138.135  -46.313
393  -49.408 -108.400   81.085  137.331  -69.436
394  -45.690 -113.115   57.121  145.273  -60.686
395  -52.337 -106.883   63.154  135.265  -64.682
396  -53.003 -101.911   73.529  127.225  -61.012
397  -55.191 -103.744   81.868  121.555  -66.156
398  -57.103 -106.730   71.320  143.918  -47.301
399  -60.571 -109.729   73.466  144.522  -60.686
400  -57.968  -89.310   74.580  137.401  -71.829
401  -48.315  -95.592   79.823  124.679  -75.335
402  -40.768 -115.324   66.658  140.647  -61.539
403  -74.501 -117.058   70.400  142.879  -58.671
404  -71.851 -102.271   57.306  144.374  -54.153
405  -53.492  -84.641   84.286  140.243  -72.542
406  -48.455  -99.375   59.127  134.775  -53.252
407  -59.297 -113.547   71.609  147.492  -69.293
408  -39.379  -85.584   64.018  137.727  -69.278
409  -61.723  -91.544   64.247  145.845  -45.372
410  -45.272  -86.075   58.101  145.498  -47.007
411  -60.617  -99.406   70.501  141.653  -79.382
412  -61.256 -102.976   65.369  146.501  -52.507
413  -57.245 -108.877   76.210  126.619  -64.687
414  -30.512  -91.919   63.734  154.032  -66.793
415  -49.116 -119.977   77.089  127.182  -60.906
416  -45.652 -108.537   50.302  151.172  -59.014
417  -43.677 -108.895   68.654  132.393  -77.030
418  -57.064 -135.053   80.372  150.266  -48.229
419  -40.544  -96.990   59.809  147.657  -48.713
420  -56.216 -103.334   71.139  148.475  -67.833
421  -45.791 -103.150   77.785  140.031  -62.820
422  -64.489 -105.801   76.364  136.285  -61.722
423  -53.393  -88.187   82.293  122.849  -69.307
424  -66.724 -108.741   68.546  148.867  -70.163
425  -60.804  -92.756   63.078  166.820  -53.141
426  -40.939  -95.618   92.196  145.329  -64.972
427  -55.226  -99.672   67.995  150.700  -56.718
428  -57.303  -90.481   71.294  153.324  -57.423
429  -62.780 -122.302   66.607  138.065  -55.888
430  -60.746 -116.360   69.795  140.434  -70.274
431  -60.846 -110.583   69.922  131.166  -56.757
432  -58.089 -102.393   77.175  148.616  -68.671
433  -65.226 -130.176   60.050  140.660  -61.479
434  -48.565 -106.493   68.487  146.803  -66.282
435  -55.899 -103.379   62.381  151.424  -50.271
436  -70.135 -100.787   65.074  144.285  -54.901
437  -56.415 -108.434   56.213  153.311  -58.063
438  -61.339 -103.944   58.495  140.654  -65.826
439  -59.335 -115.707   60.427  135.409  -76.879
440  -61.411 -114.292   75.729  133.732  -54.809
441  -60.017 -113.188   62.866  138.997  -50.716
442  -63.224  -91.440   75.170  135.795  -56.199
443  -65.551 -110.331   74.681  141.143  -58.909
444  -53.802 -108.390   62.842  143.277  -45.664
445  -53.022 -107.628   80.079  140.853  -57.362
446  -78.147 -103.632   58.366  136.276  -43.557
447  -58.886 -107.682   62.958  136.147  -47.531
448  -54.439  -95.957   75.897  144.328  -75.035
449  -36.574 -103.705   77.468  134.261  -49.478
450  -53.929 -114.826   73.095  149.812  -64.396
451  -56.296 -105.913   71.568  144.570  -59.603
452  -70.255 -133.368   71.087  142.583  -42.674
453  -47.352 -105.753   60.659  149.397  -48.290
454  -53.329 -113.740   63.577  143.254  -49.273
455  -62.527 -114.786   84.356  141.062  -58.253
456  -51.603 -103.251   76.381  134.709  -69.479
457  -57.748  -95.070   82.281  132.394  -58.798
458  -44.444  -91.085   74.941  150.957  -63.288
459  -56.898  -99.538   87.359  131.792  -56.651
460  -52.078 -100.980   59.414  148.813  -54.961
461  -66.489 -113.420   69.043  139.495  -59.878
462  -58.195 -121.402   62.930  146.304  -50.588
463  -59.463 -105.171   64.068  143.160  -55.363
464  -50.091 -112.898   75.995  142.831  -60.852
465  -48.412  -81.367   64.052  147.517  -80.787
466  -60.541 -117.726   75.350  139.333  -70.295
467  -61.063 -109.778   63.151  153.023  -58.901
468  -69.440 -107.015   82.508  153.118  -63.675
469  -59.836 -110.211   76.625  137.607  -61.695
470  -61.480 -114.867   71.459  154.875  -59.469
471  -64.618 -117.721   60.929  143.390  -45.727
472  -53.910 -125.586   61.376  142.665  -52.712
473  -51.054 -116.200   68.317  150.963  -64.055
474  -70.409 -116.262   72.707  144.469  -64.133
475  -64.153 -129.109   80.366  150.005  -67.432
476  -66.115 -126.587   65.559  140.474  -58.923
477  -57.616 -117.106   80.324  139.460  -59.651
478  -64.879 -114.081   75.826  143.743  -60.751
479  -64.503 -106.556   67.644  140.925  -47.524
480  -52.989 -109.116   82.453  131.426  -46.193
481  -52.623 -106.098   72.474  142.276  -53.732
482  -49.031 -115.530   70.648  135.844  -60.014
483  -50.991 -105.497   60.925  151.940  -49.641
484  -54.211 -105.241   76.716  141.216  -49.983
485  -47.464 -101.006   70.987  153.211  -47.382
486  -54.796 -101.405   57.161  154.869  -52.624
487  -45.439 -100.261   95.651  137.318  -52.875
488  -42.985  -97.837   58.384  135.445  -63.487
489  -44.169 -103.675   59.040  149.480  -51.328
490  -67.304 -114.613   78.156  146.664  -57.149
491  -51.159 -111.721   52.693  153.782  -54.289
492  -63.570  -96.468   76.992  138.184  -53.338
493  -66.567 -105.726   76.629  134.182  -61.381
494  -53.613 -102.001   79.288  126.267  -63.452
495  -48.052 -117.112   73.331  152.525  -68.010
496  -67.565 -112.476   73.558  136.329  -83.499
497  -39.523 -107.843   69.380  142.963  -57.569
498  -47.133 -101.782   61.997  134.012  -54.653
499  -70.650 -119.532   60.620  138.708  -47.074
500  -55.263 -102.403   69.322  133.804  -57.559
501  -56.721 -101.835   76.282  137.901  -63.355
502  -66.110 -106.608   58.477  131.590  -58.823
503  -52.763 -103.727   71.731  133.627  -62.340
504  -47.467 -116.555   76.387  138.420  -68.393
505  -52.029  -98.075   78.336  152.937  -45.188
506  -50.778  -97.028   65.802  140.876  -53.367
507  -61.056 -102.157   65.520  141.199  -62.322
508  -44.521 -110.668   70.382  150.993  -50.136
509  -65.010 -114.396   60.600  155.714  -44.284
510  -44.793  -94.570   71.848  134.894  -45.278
511  -53.873 -100.042   64.588  134.025  -68.739
512  -56.039 -111.180   69.120  127.546  -50.967
513  -64.756  -99.079   88.312  141.051  -60.430
514  -49.012  -85.709   63.557  149.198  -46.150
515  -56.704  -94.630   76.928  134.454  -54.639
516  -53.170  -97.738   58.858  153.920  -46.807
517  -76.824 -102.136   75.142  135.067  -51.461
518  -67.792  -98.688   68.835  133.582  -66.010
519  -64.979 -116.811   70.725  138.240  -49.463
520  -63.555  -89.868   57.672  141.836  -54.391
521  -50.432 -100.244   75.510  145.261  -51.785
522  -61.996 -102.732   83.304  128.634  -59.068
523  -50.305 -102.937   69.822  138.725  -48.359
524  -86.807 -113.606   77.416  145.166  -57.866
525  -67.948 -118.827   73.713  147.237  -45.958
526  -65.729 -114.558   90.699  137.683  -58.865
527  -41.814 -103.047   70.342  152.569  -50.142
